
  
   Name                                                           | Size       | Percent used | Index scans | Seq scans | Unused 
  ----------------------------------------------------------------|------------|--------------|-------------|-----------|--------
   public.trip_seats_trip_seat_number_key                         | 232 kB     | 100%         | 10496       | 0         | false  
   public.trip_seats_trip_seat_index_key                          | 232 kB     | 100%         | 17          | 0         | false  
   public.trip_seats_pkey                                         | 168 kB     | 100%         | 2           | 0         | false  
   public.trip_seats_trip_status_idx                              | 64 kB      | 100%         | 865         | 0         | false  
   public.route_templates_route_slot_key                          | 40 kB      | 100%         | 9281        | 0         | false  
   public.app_campaign_events_user_idx                            | 16 kB      | 0%           | 0           | 0         | true   
   public.trip_instances_trip_code_key                            | 16 kB      | 0%           | 0           | 0         | true   
   public.app_promo_route_rules_unique_idx                        | 16 kB      | 100%         | 14520       | 0         | false  
   public.bookings_pnr_key                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.trip_instances_template_date_key                        | 16 kB      | 100%         | 476         | 0         | false  
   public.app_wallet_transactions_client_id_key                   | 16 kB      | 100%         | 2223        | 0         | false  
   public.trip_instances_city_date_idx                            | 16 kB      | 100%         | 60          | 0         | false  
   public.app_wallet_transactions_pkey                            | 16 kB      | 100%         | 14          | 0         | false  
   public.booking_passengers_pkey                                 | 16 kB      | 100%         | 4           | 0         | false  
   public.app_wallet_transactions_reference_id_idx                | 16 kB      | 100%         | 3           | 0         | false  
   public.app_promo_campaigns_pkey                                | 16 kB      | 100%         | 13          | 0         | false  
   public.route_templates_pkey                                    | 16 kB      | 100%         | 202         | 0         | false  
   public.stations_slug_key                                       | 16 kB      | 100%         | 1368        | 0         | false  
   public.bookings_client_id_key                                  | 16 kB      | 100%         | 790         | 0         | false  
   public.booking_passengers_booking_passenger_key                | 16 kB      | 0%           | 0           | 0         | true   
   public.app_promo_campaigns_code_key                            | 16 kB      | 100%         | 37          | 0         | false  
   public.profiles_username_key                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.stations_pkey                                           | 16 kB      | 100%         | 596         | 0         | false  
   public.bookings_ticket_token_key                               | 16 kB      | 0%           | 0           | 0         | true   
   public.app_wallet_transactions_user_id_created_at_idx          | 16 kB      | 100%         | 7637        | 0         | false  
   public.routes_pkey                                             | 16 kB      | 100%         | 328         | 0         | false  
   public.profiles_pkey                                           | 16 kB      | 100%         | 1106        | 0         | false  
   public.trip_instances_pkey                                     | 16 kB      | 100%         | 3855        | 0         | false  
   public.cities_pkey                                             | 16 kB      | 100%         | 269         | 0         | false  
   public.app_wallet_transactions_client_id_idx                   | 16 kB      | 100%         | 40          | 0         | false  
   public.app_wallets_user_id_key                                 | 16 kB      | 100%         | 4           | 0         | false  
   public.cities_name_ar_key                                      | 16 kB      | 100%         | 7198        | 0         | false  
   public.app_promo_campaigns_code_uidx                           | 16 kB      | 100%         | 798         | 0         | false  
   public.bookings_trip_instance_id_idx                           | 16 kB      | 0%           | 0           | 0         | true   
   public.public_trip_shares_public_trip_code_idx                 | 16 kB      | 0%           | 0           | 0         | true   
   public.booking_passengers_booking_seat_key                     | 16 kB      | 100%         | 13          | 0         | false  
   public.bookings_client_id_idx                                  | 16 kB      | 100%         | 5           | 0         | false  
   public.app_promo_route_rules_lookup_idx                        | 16 kB      | 0%           | 0           | 0         | true   
   public.public_trip_shares_pkey                                 | 16 kB      | 100%         | 14          | 0         | false  
   public.app_promo_route_rules_pkey                              | 16 kB      | 100%         | 1           | 0         | false  
   public.app_promo_campaigns_active_window_idx                   | 16 kB      | 0%           | 0           | 0         | true   
   public.cities_code_key                                         | 16 kB      | 0%           | 0           | 0         | true   
   public.bookings_pkey                                           | 16 kB      | 100%         | 80          | 0         | false  
   public.routes_station_pair_key                                 | 16 kB      | 100%         | 4608        | 0         | false  
   public.app_campaign_events_campaign_idx                        | 16 kB      | 100%         | 3677        | 0         | false  
   public.bookings_user_created_idx                               | 16 kB      | 100%         | 20650       | 0         | false  
   public.app_wallets_pkey                                        | 16 kB      | 100%         | 514         | 0         | false  
   public.app_promo_route_rules_campaign_id_from_city_to_city_key | 16 kB      | 100%         | 24          | 0         | false  
   public.app_campaign_events_pkey                                | 16 kB      | 100%         | 3           | 0         | false  
   public.app_promo_redemptions_promo_idx                         | 8192 bytes | 0%           | 0           | 0         | true   
   public.app_referral_claims_referred_user_id_key                | 8192 bytes | 0%           | 0           | 0         | true   
   public.wallet_topup_requests_request_id_key                    | 8192 bytes | 0%           | 0           | 0         | true   
   public.app_user_notifications_user_active_idx                  | 8192 bytes | 0%           | 0           | 0         | true   
   public.app_promo_redemptions_user_idx                          | 8192 bytes | 0%           | 0           | 0         | true   
